"dataset","region","estimand","scale","method","metric","observed","ci_low","ci_high","bootstrap_n","bootstrap_unit"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","4x","STPD","precision",0.506578947368421,0.46408891142664,0.54919621239912,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","4x","STPD","recall",0.91016548463357,0.878592213525988,0.938618925831202,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","observable_phenotype_primary","4x","STPD","f1",0.650887573964497,0.618546195321092,0.681463227895331,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","10x","LogISI/newBD","precision",0.904255319148936,0.802208646616541,0.985068973315242,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","10x","LogISI/newBD","recall",0.196304849884527,0.123081395348837,0.27121995238461,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","10x","LogISI/newBD","f1",0.32258064516129,0.216019222903885,0.419078302373581,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","10x","Mean-ISI","precision",0.329277566539924,0.313278797865662,0.344169160846913,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","10x","Mean-ISI","recall",1,1,1,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","10x","Mean-ISI","f1",0.495423340961098,0.477094120768735,0.51209203539823,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","10x","STPD","precision",0.509627727856226,0.476679564199165,0.547709479009549,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","10x","STPD","recall",0.916859122401848,0.890147680725661,0.941747007038269,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","10x","STPD","f1",0.655115511551155,0.62814157392041,0.683371472158658,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","1x","LogISI/newBD","precision",0.192444444444444,0.182492155757568,0.204718963333749,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","1x","LogISI/newBD","recall",1,1,1,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","1x","LogISI/newBD","f1",0.322773015281401,0.308656856365716,0.339861772591714,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","1x","Mean-ISI","precision",0.329277566539924,0.312907196320933,0.345537799365563,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","1x","Mean-ISI","recall",1,1,1,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","1x","Mean-ISI","f1",0.495423340961098,0.476663083478506,0.513605488079172,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","1x","STPD","precision",0.507060333761232,0.473239249924886,0.54545155895353,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","1x","STPD","recall",0.912240184757506,0.882781429700189,0.939106496904927,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","1x","STPD","f1",0.651815181518152,0.623812936641773,0.682390609078089,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","4x","LogISI/newBD","precision",0.428571428571429,0.357279859982267,0.519131663703668,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","4x","LogISI/newBD","recall",0.928406466512702,0.867788461538462,0.9728460404663,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","4x","LogISI/newBD","f1",0.586433260393873,0.510383931607484,0.671596200676351,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","4x","Mean-ISI","precision",0.329277566539924,0.312736489514622,0.345587064443612,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","4x","Mean-ISI","recall",1,1,1,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","4x","Mean-ISI","f1",0.495423340961098,0.476464990483823,0.513659908817538,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","4x","STPD","precision",0.507060333761232,0.469830448558686,0.543045294952775,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","4x","STPD","recall",0.912240184757506,0.882220486346964,0.941172857349328,1000,"Template_ID"
"synthetic_v2.3_holdout","synthetic","strict_mechanism","4x","STPD","f1",0.651815181518152,0.61995501921821,0.679494718743175,1000,"Template_ID"
